,Game,Pos,Genre,Console,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Total_Sales,Relese_Month,Relese_Year,Hit_Games
3750,Disney Infinity 2.0: Marvel Super Heroes,1486,Action-Adventure,PS3,Disney Interactive Studios,Avalanche Software,0.0,0.0,0.0,520000,340000,0,180000,1040000,9,2014,1
3751,Robinson: The Journey,1488,Action-Adventure,PS4,Sony Interactive Entertainment,Crytek,0.0,0.0,0.0,140000,90000,0,50000,270000,11,2016,0
3752,The Walking Dead: Telltale Games Series,1,Adventure,Series,Telltale Games,Telltale Games,0.0,0.0,0.0,0,0,0,0,50000000,4,2012,1
3753,Professor Layton,2,Adventure,Series,Nintendo,Level-5,0.0,0.0,0.0,0,0,0,0,17000000,2,2008,1
3754,Myst,3,Adventure,Series,Broderbund,"Cyan, Inc.",0.0,0.0,0.0,0,0,0,0,12500000,9,1993,1
3755,Broken Sword,4,Adventure,Series,Virgin Interactive,Revolution Software,0.0,0.0,0.0,0,0,0,0,10000000,9,1996,1
3756,Ace Attorney,5,Adventure,Series,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,8900000,10,2005,1
3757,The Legend of Zelda: Ocarina of Time,6,Adventure,N64,Nintendo,Nintendo EAD,0.0,9.9,10.0,0,0,0,0,7600000,11,1998,1
3758,The Legend of Zelda: Twilight Princess    Read the review,7,Adventure,Wii,Nintendo,Nintendo EAD,9.3,9.5,9.6,0,0,0,0,7260000,11,2006,1
3759,The Legend of Zelda,8,Adventure,NES,Nintendo,Nintendo EAD,0.0,9.0,0.0,0,0,0,0,6510000,8,1987,1
3760,Detroit: Become Human,9,Adventure,All,Sony Interactive Entertainment,Quantic Dream,0.0,0.0,0.0,0,0,0,0,6500000,5,2018,1
3761,Luigi's Mansion: Dark Moon,10,Adventure,3DS,Nintendo,Next Level Games,0.0,8.6,0.0,0,0,0,0,6440000,3,2013,1
3762,The Legend of Zelda: Ocarina of Time 3D,11,Adventure,3DS,Nintendo,GREZZO,0.0,9.3,0.0,0,0,0,0,6340000,6,2011,1
3763,Myst,12,Adventure,PC,Broderbund,Cyan Worlds,0.0,8.9,0.0,0,0,0,0,6300000,1,1995,1
3764,Heavy Rain,13,Adventure,All,Sony Computer Entertainment,Quantic Dream,0.0,0.0,0.0,0,0,0,0,5300000,2,2010,1
3765,Subnautica,14,Adventure,Series,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0.0,0.0,0.0,0,0,0,0,5230000,1,2018,1
3766,Subnautica,15,Adventure,All,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0.0,0.0,0.0,0,0,0,0,5230000,1,2018,1
3767,L.A. Noire,16,Adventure,All,Rockstar Games,Team Bondi,0.0,0.0,0.0,0,0,0,0,5000000,5,2011,1
3768,Danganronpa,17,Adventure,Series,NIS America,Spike Chunsoft,0.0,0.0,0.0,0,0,0,0,5000000,2,2014,1
3769,The Legend of Zelda: Phantom Hourglass    Read the review,18,Adventure,DS,Nintendo,Nintendo EAD,9.2,9.1,0.0,0,0,0,0,4760000,10,2007,1
3770,The Legend of Zelda: A Link to the Past,19,Adventure,SNES,Nintendo,Nintendo EAD,0.0,10.0,0.0,0,0,0,0,4610000,4,1992,1
3771,Riven: The Sequel to Myst,20,Adventure,PC,Red Orb,Cyan Worlds,0.0,0.0,0.0,0,0,0,0,4500000,10,1997,1
3772,Professor Layton and the Curious Village,21,Adventure,DS,Nintendo,Level 5,0.0,8.7,0.0,0,0,0,0,4490000,2,2008,1
3773,The Legend of Zelda: The Wind Waker,22,Adventure,GC,Nintendo,Nintendo EAD,0.0,9.6,0.0,0,0,0,0,4430000,3,2003,1
3774,Zelda II: The Adventure of Link,23,Adventure,NES,Nintendo,Nintendo EAD,0.0,0.0,0.0,0,0,0,0,4380000,9,1988,1
3775,The Legend of Zelda: A Link Between Worlds,24,Adventure,3DS,Nintendo,Nintendo EAD,0.0,9.3,0.0,0,0,0,0,4210000,11,2013,1
3776,The Legend of Zelda: Oracle of Ages / Seasons,25,Adventure,GBC,Nintendo,Capcom,0.0,0.0,0.0,0,0,0,0,3990000,5,2001,1
3777,Professor Layton and the Diabolical Box    Read the review,26,Adventure,DS,Nintendo,Level 5,9.0,8.5,0.0,0,0,0,0,3880000,8,2009,1
3778,The Legend of Zelda: Link's Awakening,27,Adventure,GB,Nintendo,Nintendo EAD,0.0,0.0,0.0,0,0,0,0,3830000,8,1993,1
3779,The Legend of Zelda: Skyward Sword,28,Adventure,Wii,Nintendo,Nintendo EAD,0.0,9.4,0.0,0,0,0,0,3670000,11,2011,1
3780,The Legend of Zelda: Majora's Mask,29,Adventure,N64,Nintendo,Nintendo EAD,0.0,9.3,0.0,0,0,0,0,3360000,10,2000,1
3781,Detroit: Become Human    Read the review,30,Adventure,PS4,Sony Interactive Entertainment,Quantic Dream,8.0,8.0,0.0,0,0,0,0,3200000,5,2018,1
3782,Professor Layton and the Unwound Future,31,Adventure,DS,Nintendo,Level 5,0.0,8.4,0.0,0,0,0,0,3020000,9,2010,1
3783,Life is Strange,32,Adventure,All,Square Enix,DONTNOD Entertainment,0.0,0.0,0.0,0,0,0,0,3000000,1,2015,1
3784,Syberia,33,Adventure,Series,Microids,Microids,0.0,0.0,0.0,0,0,0,0,3000000,1,2002,1
3785,Frogwares' Sherlock Holmes,34,Adventure,Series,The Adventure Company,Frogwares,0.0,0.0,0.0,0,0,0,0,3000000,1,2003,1
3786,Heavy Rain    Read the review,35,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,9.1,8.8,8.6,0,0,0,0,3000000,2,2010,1
3787,The Legend of Zelda: Spirit Tracks    Read the review,36,Adventure,DS,Nintendo,Nintendo EAD,9.0,8.7,0.0,0,0,0,0,2960000,12,2009,1
3788,Subnautica    Read the review,37,Adventure,PC,Unknown Worlds Entertainment,Unknown Worlds Entertainment,4.0,0.0,0.0,0,0,0,0,2870000,1,2018,1
3789,The Walking Dead: A Telltale Games Series,38,Adventure,PC,Telltale Games,Telltale Games,0.0,0.0,0.0,0,0,0,0,2850000,12,2012,1
3790,The Legend of Zelda: A Link to the Past,39,Adventure,GBA,Nintendo,"Flagship Co., Ltd. / Nintendo EAD",0.0,9.6,0.0,0,0,0,0,2820000,12,2002,1
3791,Metroid,40,Adventure,NES,Nintendo,Nintendo R&D1,0.0,0.0,0.0,0,0,0,0,2730000,8,1987,1
3792,Firewatch,41,Adventure,All,Panic,Campo Santo,0.0,0.0,0.0,0,0,0,0,2500000,2,2016,1
3793,Rise of the Tomb Raider,42,Adventure,PC,Square Enix,Crystal Dynamics,0.0,0.0,0.0,0,0,0,0,2490000,1,2016,1
3794,The Legend of Zelda: Link's Awakening DX,43,Adventure,GBC,Nintendo,Nintendo EAD,0.0,9.4,0.0,0,0,0,0,2220000,10,1998,1
3795,Deponia,44,Adventure,Series,Daedalic Entertainment,Daedalic Entertainment,0.0,0.0,0.0,0,0,0,0,2200000,8,2012,1
3796,Onimusha 2: Samurai's Destiny,45,Adventure,PS2,Capcom,Capcom,0.0,8.5,0.0,0,0,0,0,2100000,8,2002,1
3797,Professor Layton and the Last Specter,46,Adventure,DS,Nintendo,Level 5,0.0,8.4,0.0,0,0,0,0,2060000,10,2011,1
3798,Beyond: Two Souls,47,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,0.0,0.0,0.0,0,0,0,0,2000000,10,2013,1
3799,Silent Hill,48,Adventure,PS,Konami,KCET,0.0,8.9,0.0,0,0,0,0,2000000,1,1999,1
3800,Zork,49,Adventure,Series,Infocom,"Infocom, Inc.",0.0,0.0,0.0,0,0,0,0,1930000,12,1980,1
3801,Star Fox Adventures,50,Adventure,GC,Nintendo,Rare Ltd.,0.0,8.1,0.0,0,0,0,0,1820000,9,2002,1
3802,The Legend of Zelda: The Minish Cap,51,Adventure,GBA,Nintendo,Flagship,0.0,8.9,0.0,0,0,0,0,1760000,1,2005,1
3803,Metroid II: Return of Samus,52,Adventure,GB,Nintendo,Intelligent Systems,0.0,7.3,0.0,0,0,0,0,1720000,8,1991,1
3804,Metroid Fusion,53,Adventure,GBA,Nintendo,Nintendo R&D1,0.0,9.0,0.0,0,0,0,0,1600000,11,2002,1
3805,L.A. Noire: The Complete Edition,54,Adventure,PC,Rockstar Games,Rockstar Leeds,0.0,0.0,0.0,0,0,0,0,1600000,11,2011,1
3806,Amnesia,55,Adventure,Series,Frictional Games,Frictional Games,0.0,0.0,0.0,0,0,0,0,1580000,9,2010,1
3807,Dracula: Resurrection,56,Adventure,Series,DreamCatcher Interactive,Index+,0.0,0.0,0.0,0,0,0,0,1500000,6,2000,1
3808,Rugrats: Search For Reptar,57,Adventure,PS,THQ,n-Space,0.0,0.0,0.0,0,0,0,0,1500000,10,1998,1
3809,Myst III: Exile,58,Adventure,All,Ubisoft,Presto Studios,0.0,0.0,0.0,0,0,0,0,1500000,5,2001,1
3810,Amerzone,59,Adventure,All,Ubisoft,Microids,0.0,0.0,0.0,0,0,0,0,1500000,10,1999,1
3811,Runaway,60,Adventure,Series,Tri Synergy,Pendulo Studios,0.0,0.0,0.0,0,0,0,0,1500000,8,2003,1
3812,The Legend of Zelda: Twilight Princess,61,Adventure,GC,Nintendo,Nintendo EAD,0.0,9.5,0.0,0,0,0,0,1430000,12,2006,1
3813,Super Metroid,62,Adventure,SNES,Nintendo,Intelligent Systems,0.0,8.0,0.0,0,0,0,0,1420000,4,1994,1
3814,Phoenix Wright: Ace Attorney Trilogy,63,Adventure,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1400000,12,2014,1
3815,Amnesia: The Dark Descent,64,Adventure,All,Frictional Games,Frictional Games,0.0,0.0,0.0,0,0,0,0,1360000,9,2010,1
3816,The Legend of Zelda: Tri Force Heroes,65,Adventure,3DS,Nintendo,GREZZO,0.0,7.4,0.0,0,0,0,0,1360000,10,2015,1
3817,The Longest Journey,66,Adventure,Series,Tri Synergy,Funcom,0.0,0.0,0.0,0,0,0,0,1300000,11,2000,1
3818,PokéPark Wii: Pikachu's Adventure,67,Adventure,Wii,Nintendo,Creatures Inc.,0.0,0.0,0.0,0,0,0,0,1250000,11,2010,1
3819,Shenmue,68,Adventure,DC,Sega,Sega-AM2,0.0,8.9,0.0,0,0,0,0,1200000,11,2000,1
3820,Mystery Case Files: MillionHeir,69,Adventure,DS,Nintendo,Big Fish Games,0.0,7.4,0.0,0,0,0,0,1180000,9,2008,1
3821,Stranded Deep,70,Adventure,PC,Unknown,Beam Team Games,0.0,0.0,0.0,0,0,0,0,1150000,2,2019,1
3822,Brothers: A Tale of Two Sons,71,Adventure,PC,505 Games,Starbreeze Studios,0.0,0.0,0.0,0,0,0,0,1060000,9,2013,1
3823,The Wolf Among Us,72,Adventure,PC,Unknown,Telltale Games,0.0,0.0,0.0,0,0,0,0,1010000,2,2019,1
3824,Return to Zork,73,Adventure,All,Infocom,Activision,0.0,0.0,0.0,0,0,0,0,1000000,9,1993,1
3825,Don't Starve,74,Adventure,PC,Klei Entertainment,Klei Entertainment,0.0,0.0,0.0,0,0,0,0,1000000,4,2013,1
3826,Adventure,75,Adventure,2600,Atari,Atari,0.0,0.0,0.0,0,0,0,0,1000000,1,1978,1
3827,Danganronpa: Trigger Happy Havoc,76,Adventure,PC,Spike Chunsoft,Spike Chunsoft,0.0,0.0,0.0,0,0,0,0,1000000,2,2016,1
3828,Detroit: Become Human,77,Adventure,PC,Quantic Dream,Quantic Dream,0.0,0.0,0.0,0,0,0,0,1000000,12,2019,1
3829,Blade Runner,78,Adventure,PC,Virgin Interactive,Westwood Studios,0.0,0.0,0.0,0,0,0,0,1000000,11,1997,1
3830,Danganronpa 2: Goodbye Despair,79,Adventure,PC,Spike Chunsoft,Spike Chunsoft,0.0,0.0,0.0,0,0,0,0,1000000,4,2016,1
3831,Oxenfree,80,Adventure,All,Night School Studio,Night School Studio,0.0,0.0,0.0,0,0,0,0,1000000,1,2016,1
3832,Broken Sword: The Shadow of the Templars,81,Adventure,All,Virgin Interactive,Revolution Software,0.0,0.0,0.0,0,0,0,0,1000000,9,1996,1
3833,The Stanley Parable,82,Adventure,PC,Galactic Cafe,Galactic Cafe,0.0,0.0,0.0,0,0,0,0,1000000,10,2013,1
3834,The Vanishing of Ethan Carter,83,Adventure,All,The Astronauts,The Astronauts,0.0,0.0,0.0,0,0,0,0,1000000,9,2014,1
3835,GRIS,84,Adventure,All,Devolver Digital,Nomada Studio,0.0,0.0,0.0,0,0,0,0,1000000,12,2018,1
3836,Putt-Putt,85,Adventure,Series,Humongous Entertainment,Humongous Entertainment,0.0,0.0,0.0,0,0,0,0,1000000,1,1993,1
3837,Ancestors: The Humankind Odyssey,86,Adventure,All,Private Division,Panache Digital Games,0.0,0.0,0.0,0,0,0,0,1000000,8,2019,1
3838,Rise of the Tomb Raider,87,Adventure,XOne,Square Enix,Crystal Dynamics,0.0,0.0,0.0,0,0,0,0,1000000,11,2015,1
3839,Atlantis,88,Adventure,Series,Interplay Productions,Cryo Interactive,0.0,0.0,0.0,0,0,0,0,1000000,9,1997,1
3840,HuniePop,89,Adventure,PC,Unknown,HuniePot,0.0,0.0,0.0,0,0,0,0,860000,2,2019,0
3841,Yakuza 6: The Song of Life,90,Adventure,PS4,Sega,Sega,0.0,0.0,0.0,0,0,0,0,800000,4,2018,0
3842,Broken Sword II: The Smoking Mirror,91,Adventure,All,Virgin Interactive,Revolution Software,0.0,0.0,0.0,0,0,0,0,750000,10,1997,0
3843,Deponia,92,Adventure,PC,Daedalic Entertainment,Daedalic Entertainment,0.0,0.0,0.0,0,0,0,0,740000,1,2012,0
3844,Yakuza 2,93,Adventure,PS2,Sega,Sega,0.0,7.9,0.0,0,0,0,0,720000,9,2008,0
3845,Viscera Cleanup Detail,94,Adventure,PC,Unknown,RuneStorm,0.0,0.0,0.0,0,0,0,0,700000,2,2019,0
3846,Gone Home,95,Adventure,All,The Fullbright Company,The Fullbright Company,0.0,0.0,0.0,0,0,0,0,700000,8,2013,0
3847,Kameo: Elements of Power,96,Adventure,X360,Microsoft Game Studios,Rare Ltd.,0.0,7.7,0.0,0,0,0,0,700000,11,2005,0
3848,Egypt,97,Adventure,Series,Cryo Interactive,Cryo Interactive,0.0,0.0,0.0,0,0,0,0,700000,1,1997,0
3849,The Descendant,98,Adventure,PC,Unknown,Gaming Corps AB,0.0,0.0,0.0,0,0,0,0,630000,2,2019,0
3850,Machinarium,99,Adventure,PC,Amanita Design,Amanita Design,0.0,8.0,0.0,0,0,0,0,610000,10,2009,0
3851,VA-11 HALL-A,100,Adventure,All,Ysbryd Games,Sukeban Games,0.0,0.0,0.0,0,0,0,0,600000,6,2016,0
3852,Omikron: The Nomad Soul,101,Adventure,All,Eidos Interactive,Quantic Dream,0.0,0.0,0.0,0,0,0,0,600000,11,1999,0
3853,Syberia II,102,Adventure,All,MC2 Entertainment,Microids,0.0,0.0,0.0,0,0,0,0,600000,3,2004,0
3854,Runaway: A Road Adventure,103,Adventure,PC,Tri Synergy,Pendulo Studios,0.0,0.0,0.0,0,0,0,0,600000,8,2003,0
3855,Ring: The Legend of the Nibelungen,104,Adventure,All,Red Orb Entertainment,Arxel Tribe,0.0,0.0,0.0,0,0,0,0,600000,7,1999,0
3856,Game of Thrones: A Telltale Games Series,105,Adventure,PC,Telltale Games,Telltale Games,0.0,0.0,0.0,0,0,0,0,600000,12,2014,0
3857,Tales from the Borderlands,106,Adventure,PC,Telltale Games,Telltale Games,0.0,0.0,0.0,0,0,0,0,590000,11,2014,0
3858,Yakuza 5,107,Adventure,PS3,Sega,Sega,0.0,0.0,0.0,0,0,0,0,590000,12,2015,0
3859,ABZU    Read the review,108,Adventure,PC,505 Games,Giant Squid Studios,0.0,0.0,0.0,0,0,0,0,580000,8,2016,0
3860,Yakuza 4,109,Adventure,PS3,Sega,Sega,0.0,7.7,0.0,0,0,0,0,560000,3,2011,0
3861,Viscera Cleanup Detail: Santa's Rampage,110,Adventure,PC,Unknown,RuneStorm,0.0,0.0,0.0,0,0,0,0,560000,2,2019,0
3862,Lara Croft and the Guardian of Light,111,Adventure,PC,Square Enix,Crystal Dynamics,0.0,8.3,0.0,0,0,0,0,550000,9,2010,0
3863,Grim Fandango Remastered,112,Adventure,PC,Unknown,Double Fine Productions,0.0,0.0,0.0,0,0,0,0,520000,2,2019,0
3864,Yakuza,113,Adventure,PS2,Sega,Sega,0.0,7.5,0.0,0,0,0,0,510000,9,2006,0
3865,Kingdom: New Lands,114,Adventure,PC,Unknown,Noio,0.0,0.0,0.0,0,0,0,0,510000,2,2019,0
3866,Broken Sword: The Shadow of the Templars,115,Adventure,PS,THQ,Revolution Software Ltd.,0.0,0.0,0.0,0,0,0,0,500000,3,1998,0
3867,Dreamfall Chapters,116,Adventure,All,Deep Silver,Red Thread Games,0.0,0.0,0.0,0,0,0,0,500000,10,2014,0
3868,Sherlock Holmes: The Mystery of the Mummy,117,Adventure,PC,Unknown,Frogwares,0.0,0.0,0.0,0,0,0,0,500000,3,2021,0
3869,Uncle Albert,118,Adventure,Series,Emme Interactive,Lexis Numerique,0.0,0.0,0.0,0,0,0,0,500000,1,1998,0
3870,The Longest Journey,119,Adventure,PC,Funcom,Funcom,0.0,8.7,0.0,0,0,0,0,500000,11,2000,0
3871,The Great Ace Attorney Chronicles,120,Adventure,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,500000,7,2021,0
3872,The Crystal Key,121,Adventure,PC,DreamCatcher Interactive,DreamCatcher Interactive,0.0,0.0,0.0,0,0,0,0,500000,11,1999,0
3873,Versailles 1685,122,Adventure,PC,Interplay,Cryo Interactive,0.0,0.0,0.0,0,0,0,0,500000,6,1997,0
3874,House Party,123,Adventure,PC,Unknown,"Eek! Games, LLC",0.0,0.0,0.0,0,0,0,0,500000,2,2019,0
3875,Still Life,124,Adventure,Series,The Adventure Company,Microids,0.0,0.0,0.0,0,0,0,0,500000,2,2003,0
3876,13 Sentinels: Aegis Rim    Read the review,125,Adventure,PS4,Atlus,Vanillaware,8.0,0.0,0.0,0,0,0,0,500000,9,2020,0
3877,Core Keeper,126,Adventure,PC,Fireshine Games,Pugstorm Game Studios,0.0,0.0,0.0,0,0,0,0,500000,3,2022,0
3878,Syberia,127,Adventure,All,The Adventure Company,Microids,0.0,0.0,0.0,0,0,0,0,500000,9,2002,0
3879,Yakuza 3    Read the review,128,Adventure,PS3,Sega,Sega,8.6,7.9,0.0,0,0,0,0,500000,3,2010,0
3880,Sherlock Holmes: The Case of the Silver Earring,129,Adventure,PC,Unknown,Frogwares,0.0,0.0,0.0,0,0,0,0,500000,3,2021,0
3881,Bionic Commando,130,Adventure,PS3,Capcom,GRIN,0.0,7.0,0.0,0,0,0,0,480000,5,2009,0
3882,Life Is Strange: Before the Storm,131,Adventure,PC,Square Enix,Deck Nine,0.0,0.0,0.0,0,0,0,0,470000,8,2017,0
3883,Pirates! Gold,132,Adventure,All,Microprose,MPS Labs,0.0,0.0,0.0,0,0,0,0,450000,1,1993,0
3884,Superbrothers: Sword & Sworcery EP,133,Adventure,PC,Unknown,Capybara Games,0.0,0.0,0.0,0,0,0,0,440000,2,2019,0
3885,Zork: The Great Underground Empire,134,Adventure,PC,Infocom,"Infocom, Inc.",0.0,0.0,0.0,0,0,0,0,430000,12,1982,0
3886,Broken Age,135,Adventure,PC,Double Fine Productions,Double Fine Productions,0.0,0.0,0.0,0,0,0,0,420000,7,2013,0
3887,Eternal Darkness: Sanity's Requiem,136,Adventure,GC,Nintendo,Silicon Knights,0.0,9.3,0.0,0,0,0,0,400000,6,2002,0
3888,The Hitchhiker's Guide to the Galaxy,137,Adventure,PC,Infocom,"Infocom, Inc.",0.0,0.0,0.0,0,0,0,0,400000,1,1984,0
3889,Outcast,138,Adventure,PC,Infogrames,Appeal,0.0,0.0,0.0,0,0,0,0,400000,8,1999,0
3890,The Vanishing of Ethan Carter,139,Adventure,PC,The Astronauts,The Astronauts,0.0,8.7,0.0,0,0,0,0,380000,9,2014,0
3891,Bionic Commando,140,Adventure,X360,Capcom,GRIN,0.0,7.1,8.0,0,0,0,0,380000,5,2009,0
3892,The Last Hope,141,Adventure,PC,Unknown,Atomic Fabrik,0.0,0.0,0.0,0,0,0,0,360000,2,2019,0
3893,Traitors Gate,142,Adventure,All,DreamCatcher Interactive,Daydream Software,0.0,0.0,0.0,0,0,0,0,350000,5,2000,0
3894,Egypt 1156 B.C.: Tomb of the Pharaoh,143,Adventure,All,Cryo Interactive,Cryo Interactive Entertainment,0.0,0.0,0.0,0,0,0,0,350000,1,1997,0
3895,Minecraft: Story Mode,144,Adventure,PC,Mojang,Telltale Games,0.0,0.0,0.0,0,0,0,0,350000,10,2015,0
3896,Botanicula,145,Adventure,PC,Amanita Design,Amanita Design,0.0,0.0,0.0,0,0,0,0,330000,4,2012,0
3897,Atonement: Scourge of Time,146,Adventure,PC,Unknown,Astronomic Games,0.0,0.0,0.0,0,0,0,0,310000,2,2019,0
3898,Her Story,147,Adventure,PC,Sam Barlow,Sam Barlow,0.0,8.7,0.0,0,0,0,0,310000,6,2015,0
3899,Putt-Putt Joins the Parade,148,Adventure,All,Humongous Entertainment,Humongous Entertainment,0.0,0.0,0.0,0,0,0,0,300000,11,1992,0
3900,Sherlock Holmes: Crimes & Punishments,149,Adventure,PC,Focus Home Interactive,Frogwares,0.0,0.0,0.0,0,0,0,0,300000,9,2014,0
3901,VA-11 HALL-A,150,Adventure,PC,Ysbryd Games,Sukeban Games,0.0,8.4,0.0,0,0,0,0,300000,6,2016,0
3902,Dreamfall: The Longest Journey,151,Adventure,All,Aspyr,Funcom,0.0,0.0,0.0,0,0,0,0,300000,4,2006,0
3903,In Memoriam,152,Adventure,All,The Adventure Company,Lexis Numerique,0.0,0.0,0.0,0,0,0,0,300000,6,2004,0
3904,Atlantis: The Lost Tales,153,Adventure,All,Interplay Productions,Cryo Interactive Entertainment,0.0,0.0,0.0,0,0,0,0,300000,9,1997,0
3905,Silent Hill 3,154,Adventure,PS2,Konami,Team Silent,0.0,8.4,9.0,0,0,0,0,300000,8,2003,0
3906,Dragon Lore,155,Adventure,All,Mindscape,Cryo Interactive,0.0,0.0,0.0,0,0,0,0,300000,12,1994,0
3907,Monkey Island 2 Special Edition: LeChuck's Revenge,156,Adventure,PC,LucasArts,LucasArts,0.0,0.0,0.0,0,0,0,0,290000,7,2010,0
3908,Yakuza Kenzan!,157,Adventure,PS3,Sega,Sega,0.0,0.0,0.0,0,0,0,0,280000,3,2008,0
3909,Oxenfree,158,Adventure,PC,Unknown,Night School Studio,0.0,0.0,0.0,0,0,0,0,280000,2,2019,0
3910,Okami,159,Adventure,Wii,Capcom,Ready at Dawn Studios,0.0,9.0,9.6,0,0,0,0,280000,4,2008,0
3911,The Walking Dead - The Telltale Series: A New Frontier,160,Adventure,PC,Unknown,Telltale Games,0.0,0.0,0.0,0,0,0,0,280000,2,2019,0
3912,Batman - The Telltale Series,161,Adventure,PC,Unknown,Telltale Games,0.0,0.0,0.0,0,0,0,0,270000,2,2019,0
3913,Okami,162,Adventure,PS2,Capcom,Clover Studio,0.0,9.4,9.0,0,0,0,0,270000,9,2006,0
3914,Home Behind,163,Adventure,PC,Unknown,TPP Studio,0.0,0.0,0.0,0,0,0,0,270000,2,2019,0
3915,Day of the Tentacle Remastered,164,Adventure,PC,Unknown,Double Fine Productions,0.0,0.0,0.0,0,0,0,0,270000,2,2019,0
3916,Law & Order: Dead on the Money,165,Adventure,PC,Unknown,Legacy Interactive,0.0,0.0,0.0,0,0,0,0,250000,3,2021,0
3917,Fables & Fiends,166,Adventure,Series,Virgin Games,Westwood Studios,0.0,0.0,0.0,0,0,0,0,250000,8,1992,0
3918,Riddle of the Sphinx: An Egyptian Adventure,167,Adventure,All,DreamCatcher Interactive,Old World Studios,0.0,0.0,0.0,0,0,0,0,250000,12,2000,0
3919,Chaos on Deponia,168,Adventure,PC,Daedalic Entertainment,Daedalic Entertainment,0.0,0.0,0.0,0,0,0,0,250000,11,2012,0
3920,The Basement Collection,169,Adventure,PC,Edmund McMillen,Edmund McMillen,0.0,0.0,0.0,0,0,0,0,250000,8,2012,0
3921,Detention,170,Adventure,PC,Coconut Island Games,Red Candle Games,0.0,0.0,0.0,0,0,0,0,240000,1,2017,0
3922,Under Zero,171,Adventure,PC,Dagestan Technology,Dagestan Technology,0.0,0.0,0.0,0,0,0,0,240000,3,2016,0
3923,Sleeping Valley,172,Adventure,PC,White Dog,White Dog,0.0,0.0,0.0,0,0,0,0,240000,10,2016,0
3924,Warriors of Vilvatikta,173,Adventure,PC,Back To Basics Gaming,RPG Video,0.0,0.0,0.0,0,0,0,0,240000,8,2016,0
3925,Still Life,174,Adventure,All,The Adventure Company,Microids,0.0,0.0,0.0,0,0,0,0,240000,4,2005,0
3926,Shelter 2,175,Adventure,PC,Might and Delight,Might and Delight,0.0,0.0,0.0,0,0,0,0,240000,3,2015,0
3927,Jazzpunk: Director's Cut,176,Adventure,PC,Necrophone Games,Necrophone Games,0.0,0.0,0.0,0,0,0,0,240000,2,2014,0
3928,Gods Will Be Watching,177,Adventure,PC,Unknown,Deconstructeam,0.0,0.0,0.0,0,0,0,0,230000,2,2019,0
3929,Moon Colonization Project,178,Adventure,PC,Unknown,Belarus Games,0.0,0.0,0.0,0,0,0,0,230000,2,2019,0
3930,Dear RED,179,Adventure,PC,Unknown,Lee Sang,0.0,0.0,0.0,0,0,0,0,220000,2,2019,0
3931,Edna & Harvey: Harvey's New Eyes,180,Adventure,PC,Rondomedia,Daedalic Entertainment,0.0,0.0,0.0,0,0,0,0,220000,8,2011,0
3932,Night in the Woods,181,Adventure,PC,Unknown,Unknown,0.0,8.8,0.0,0,0,0,0,220000,2,2017,0
3933,Atlantis II,182,Adventure,All,DreamCatcher Interactive,Cryo Interactive,0.0,0.0,0.0,0,0,0,0,200000,11,1999,0
3934,Dracula: Resurrection,183,Adventure,All,DreamCatcher Interactive,Index+,0.0,0.0,0.0,0,0,0,0,200000,6,2000,0
3935,The Room Two,184,Adventure,PC,Fireproof Games,Fireproof Games,0.0,0.0,0.0,0,0,0,0,200000,6,2016,0
3936,Space Pilgrim Episode I: Alpha Centauri,185,Adventure,PC,GrabTheGames,Pilgrim Adventures,0.0,0.0,0.0,0,0,0,0,200000,12,2015,0
3937,The Walking Dead: Michonne    Read the review,186,Adventure,PC,Telltale Games,Telltale Games,0.0,0.0,0.0,0,0,0,0,200000,2,2016,0
3938,Among The Sleep    Read the review,187,Adventure,PC,Krillbite Studio,Krillbite Studio,7.2,0.0,0.0,0,0,0,0,190000,5,2014,0
3939,Kamaitachi no Yoru × 3,188,Adventure,PS2,Sega,ChunSoft,0.0,0.0,0.0,0,0,0,0,190000,7,2006,0
3940,The Dark Eye: Chains of Satinav,189,Adventure,PC,Daedalic Entertainment,Daedalic Entertainment,0.0,0.0,0.0,0,0,0,0,190000,6,2012,0
3941,The Testament of Sherlock Holmes,190,Adventure,PC,Focus Home Interactive,Frogwares,0.0,0.0,0.0,0,0,0,0,190000,9,2012,0
3942,Fran Bow,191,Adventure,PC,Killmonday Games,Killmonday Games,0.0,0.0,0.0,0,0,0,0,190000,8,2015,0
3943,Superflight,192,Adventure,PC,Unknown,GrizzlyGames,0.0,0.0,0.0,0,0,0,0,180000,3,2019,0
3944,What Remains of Edith Finch,193,Adventure,PC,Unknown,Giant Sparrow,0.0,0.0,0.0,0,0,0,0,180000,3,2019,0
3945,Melissa K. and the Heart of Gold Collector's Edition,194,Adventure,PC,Unknown,SDP Games,0.0,0.0,0.0,0,0,0,0,180000,3,2019,0
3946,Home,195,Adventure,PC,Unknown,Benjamin Rivers Inc.,0.0,0.0,0.0,0,0,0,0,180000,3,2019,0
